Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Feb-2024,EQ,475.0,486.5,475.0,471.35,483.8,483.15,481.32,529.0,352.0,"81,48,111","3,92,18,65,076.40","1,43,077"
01-Feb-2024,EQ,477.55,477.7,470.6,478.15,471.4,471.35,473.04,529.0,352.0,"39,14,060","1,85,14,96,740.95","94,070"
31-Jan-2024,EQ,472.5,479.9,469.0,472.5,477.0,478.15,474.77,529.0,352.0,"52,92,240","2,51,26,00,122.90","1,02,548"
30-Jan-2024,EQ,474.4,482.9,471.5,473.0,472.55,472.5,477.82,529.0,352.0,"59,14,007","2,82,58,37,433.50","1,13,702"
29-Jan-2024,EQ,470.0,477.0,470.0,470.0,473.05,473.0,474.11,529.0,352.0,"50,25,650","2,38,27,01,969.55","95,169"
25-Jan-2024,EQ,478.05,479.35,468.55,478.05,471.85,470.0,472.58,529.0,352.0,"64,26,490","3,03,70,56,380.60","1,32,676"
24-Jan-2024,EQ,471.0,479.0,468.05,469.9,478.75,478.05,472.97,529.0,352.0,"58,54,375","2,76,89,38,795.80","1,16,149"
23-Jan-2024,EQ,478.05,486.0,467.05,477.95,471.5,469.9,477.07,529.0,352.0,"99,86,168","4,76,40,74,713.60","1,42,848"
20-Jan-2024,EQ,486.4,488.9,469.05,485.05,478.3,477.95,479.48,529.0,352.0,"60,45,801","2,89,88,37,065.15","1,14,091"
19-Jan-2024,EQ,488.0,493.35,483.6,482.65,484.9,485.05,487.18,529.0,352.0,"77,49,310","3,77,52,92,896.75","1,36,626"
18-Jan-2024,EQ,482.4,489.0,468.4,482.4,482.3,482.65,478.52,529.0,352.0,"1,30,72,462","6,25,54,99,769.45","2,00,207"
17-Jan-2024,EQ,475.15,491.5,472.0,485.0,483.0,482.4,483.21,529.0,352.0,"1,43,34,466","6,92,65,40,674.70","1,78,223"
16-Jan-2024,EQ,495.0,495.0,480.5,494.6,485.75,485.0,485.37,529.0,352.0,"1,29,56,246","6,28,85,65,190.30","2,06,078"
15-Jan-2024,EQ,511.95,529.0,489.15,465.45,495.1,494.6,504.57,529.0,352.0,"6,39,22,132","32,25,31,08,339.25","5,61,618"
12-Jan-2024,EQ,455.0,469.0,455.0,448.2,466.0,465.45,465.19,483.5,352.0,"1,80,43,367","8,39,35,07,441.20","4,18,036"
11-Jan-2024,EQ,454.95,456.9,446.7,453.6,448.55,448.2,451.39,483.5,352.0,"43,19,409","1,94,97,38,022.65","1,14,196"
10-Jan-2024,EQ,451.45,456.0,449.0,450.75,455.65,453.6,452.29,483.5,352.0,"44,37,338","2,00,69,49,671.70","91,350"
09-Jan-2024,EQ,458.0,462.5,449.95,450.35,451.5,450.75,456.18,483.5,352.0,"72,32,524","3,29,93,00,580.60","1,35,994"
08-Jan-2024,EQ,457.5,460.0,449.05,456.6,450.6,450.35,453.95,483.5,352.0,"50,41,443","2,28,85,76,121.25","1,22,009"
05-Jan-2024,EQ,455.05,463.0,453.5,452.4,456.05,456.6,458.35,483.5,352.0,"84,44,565","3,87,06,00,023.95","1,77,606"
04-Jan-2024,EQ,457.0,459.85,451.4,455.9,452.45,452.4,454.67,483.5,352.0,"75,85,168","3,44,87,36,823.65","1,52,999"
03-Jan-2024,EQ,463.9,463.9,455.0,469.2,456.0,455.9,458.42,483.5,352.0,"97,67,182","4,47,74,57,367.05","2,08,213"
02-Jan-2024,EQ,478.0,478.0,464.3,477.15,469.55,469.2,469.7,483.5,352.0,"71,41,257","3,35,42,29,294.00","1,24,248"
01-Jan-2024,EQ,473.0,483.5,468.3,471.3,474.8,477.15,477.34,483.5,352.0,"1,01,73,639","4,85,62,83,990.30","1,39,809"
29-Dec-2023,EQ,470.95,475.35,466.1,469.45,470.8,471.3,471.63,477.4,352.0,"79,80,570","3,76,38,68,120.80","1,30,529"
28-Dec-2023,EQ,472.55,477.4,467.65,470.95,469.0,469.45,471.54,477.4,352.0,"84,19,978","3,97,03,70,034.45","1,52,805"
27-Dec-2023,EQ,468.5,475.4,464.1,470.1,470.0,470.95,470.25,475.8,352.0,"1,26,31,496","5,93,99,28,530.50","2,00,199"
26-Dec-2023,EQ,454.0,475.8,448.35,462.65,469.7,470.1,466.73,475.8,352.0,"2,73,14,322","12,74,82,99,048.10","3,26,049"
22-Dec-2023,EQ,435.3,466.3,434.0,434.0,461.9,462.65,455.69,466.3,352.0,"2,30,40,407","10,49,93,49,828.90","3,17,516"
21-Dec-2023,EQ,428.9,436.5,427.2,431.95,434.9,434.0,433.27,453.5,352.0,"53,31,504","2,31,00,02,064.65","1,45,804"
20-Dec-2023,EQ,442.0,449.5,429.35,438.7,430.5,431.95,441.59,453.5,352.0,"1,32,24,971","5,84,00,16,260.20","2,41,669"
19-Dec-2023,EQ,445.6,447.35,435.0,445.25,438.2,438.7,439.32,453.5,352.0,"80,32,347","3,52,87,63,708.00","1,89,808"
